SMILES,Kinetic solubility in PBS (uM),logS
Cc1cc(=O)cc(N2CCCCC2)o1,172.394955315892,-3.76347544680902
COc1cc(C(=O)OC2CCN3CCCC23)cc(OC)c1OC,171.2204864797725,-3.7664442733456296
OCC1COCC2(COCC(CO)O2)O1,171.1834764258665,-3.7665381581366377
CNc1nccn2c(C(=O)C(C)(C)C)cnc12,170.9207886915155,-3.7672051118554095
NC1(C2CCCCC2)CC1,170.919111429209,-3.7672093736502683
NC(=O)c1cc2ccccc2o1,170.891440501044,-3.767279689393124
O=C1CC(c2ccccc2)Oc2cc(O)cc(O)c21,170.8413926499035,-3.767406896987059
CN(C)CCCC1C(=O)Nc2ccccc2SC1c1ccco1,170.83446045642302,-3.767424519615928
CSc1nc(=O)cc(CCO)[nH]1,170.60887972814902,-3.7679983687337
CN1CCC(COC(=O)c2cccc3ccccc23)CC1,170.60497340096498,-3.768008312622701
COC(=O)c1cc(OS(C)(=O)=O)c(=O)n2c1CCC2,170.4784620696065,-3.768330481159271
Cc1cc(O)cc(=O)o1,170.45185385119652,-3.768398270979727
O=C(CCCNc1ncnc2c1ncn2C1OC(CO)C(O)C1O)N1CCC(O)CC1,170.21728844516798,-3.7689963320597273
CCc1ccc2[nH]c(=O)[se]c2c1,169.94326582769702,-3.7696960400942547
Cc1cc2c(N(C)C)ncnc2n1Cc1ccccc1,169.5266580677055,-3.770761999281679
NCC1CCC(C(=O)Nc2ccccc2)CC1,168.883803995982,-3.7724119973942756
CC(C)(C)S(=O)NC(C)(CC(=O)O)C(F)(F)F,168.31334147736152,-3.7738814579971143
CCOC(=O)C(Cc1occc1C(=O)OC)C(=O)c1ccccc1,167.8760838936555,-3.7750111702874043
C#CCOCC=CN(C)S(=O)(=O)c1ccc(C)cc1,167.52861141027898,-3.775911011215353
CCOC(=O)CNc1cc(C)nc(C)n1,167.49022786213249,-3.7760105265934434
O=C(O)CC(c1c[nH]c2ccccc12)C(F)(F)F,167.1770693339795,-3.7768232923555702
COC1=CC(=O)OC(CCc2ccccc2)C1,167.172425751939,-3.776835355673064
CC(ON1C(C)(C)CCCC1(C)C)C(=O)O,167.1275487574245,-3.7769519565267
Cc1ccc(S(=O)(=O)NCCC2C=CCC2)cc1,167.0256572695595,-3.7772168105607538
CC(=O)Nc1ccc(S(=O)(=O)Nc2nc3ccccc3[nH]2)cc1,166.8565310697355,-3.7776567895963313
CC1=C(C2OCC(C)(C)CO2)C(C)(C)C=CC1=O,166.760546175145,-3.7779066911395085
O=C1c2ccc(Cl)cc2C(=O)N1O,166.202268005363,-3.7793630541048953
Cc1cccc(C2=NC(c3ccccc3)CO2)c1NS(C)(=O)=O,164.488204296476,-3.7838652405263384
C=C1c2c(cc(C)oc2=O)OC(=O)N1CC,164.386284864776,-3.784134419496808
CN(C)CC#CCCCCc1cnccn1,164.2439897007235,-3.7845105139299413
CCOC(=O)c1cc2ccc(N(CC)CC)cc2oc1=O,164.2132227032895,-3.784591875743564
COc1cc(C(O)C(CO)Oc2c(OC)cc(CO)cc2OC)cc(OC)c1O,163.9300652501255,-3.785341388255055
CC(C)(CO)NC(C)(C)C(=O)O,163.3466761673235,-3.7868896982676787
CC(=O)NC1C=CCC1,163.3366801663085,-3.786916275734814
O=S(=O)(Nc1ccnn1C1CCCCC1)c1ccc(Br)cc1,162.879568401926,-3.7881333901347785
O=C(O)c1ccsc1NC(=O)N1CCCC1,161.605122600705,-3.791544876965152
COC(=O)CC1C(C(=O)OC)CCN1S(=O)(=O)c1ccc(C)cc1,161.419859452494,-3.792043035165044
CCOC(=O)CCS(=O)(=O)C(C)(C)CC(=O)Nc1ccccc1NC(=O)CC(C)(C)S(=O)(=O)CCC(=O)OCC,160.8610840183925,-3.7935490089791197
CCC(CCl)C(=O)N1C(=O)OCC1Cc1ccccc1,160.5874594155845,-3.7942883726268413
CC(=O)OCC12C(=O)C=CCC1C(O)CC2=O,159.968127210956,-3.7959665395647173
CC(=O)OC12COC1CC(O)C1(C)C(=O)C(O)C3=C(C)C(=O)CC(O)(C(OC(=O)c4ccccc4)C21)C3(C)C,159.611919561772,-3.7969346793599175
CC(C)(C)[Si](C)(C)OC1C(O)C(CN=[N+]=[N-])OC1n1ccc(=O)[nH]c1=O,159.4828801457955,-3.797285929893695
COC(OC)C12CCC=CC1=CC(=O)CC2,159.266364822347,-3.797875932387302
